route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A144,A,12TM,ЦЕНТРАЛНА ГАРА - ГАРА СОФИЯ СЕВЕР - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
TM34,A,18,Ж.к. Бъкстон - Кв. Орландовци - Ж.к. Бъкстон,,0,,F7941D,FFFFFF,,,
A263,A,X1,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
A208,A,11Tm,КВ. ПАВЛОВО - Ж.К. ЗАПАДЕН ПАРК - КВ. ПАВЛОВО,,3,,BE1E2D,FFFFFF,,,
A72,A,7,ЖП ГАРА ВЕРИЛА - ГАРА ИСКЪР - ЖП ГАРА ВЕРИЛА,,3,,BE1E2D,FFFFFF,,,
TB8,A,9,ж.к. Борово - ПЛ. СТОЧНА ГАРА - ж.к. Борово,,11,,27AAE1,FFFFFF,,,
A174,A,42A,АВТОСТАНЦИЯ БАНКЯ - КРАЯ НА КВ. МИХАЙЛОВО - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
TM28,A,3,УЛ. ДИМИТЪР ПЕТКОВ - КВ. ОРЛАНДОВЦИ - УЛ. ДИМИТЪР ПЕТКОВ,,0,,F7941D,FFFFFF,,,
TB40,A,Д1,Ж.к. Гоце Делчев - Ж.к. Красно село - Ж.к. Гоце Делчев,,11,,27AAE1,FFFFFF,,,
TB33,A,6,село Герман - АВТОСТАНЦИЯ ГЕО МИЛЕВ - село Герман,,11,,27AAE1,FFFFFF,,,
TB21,A,9А,АВТОСТАНЦИЯ ГЕО МИЛЕВ - АВТОБАЗА ИСКЪР - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,11,,27AAE1,FFFFFF,,,
TM24,A,10,Ж.К. ЗАПАДЕН ПАРК - МЕТРОСТАНЦИЯ ВИТОША - Ж.К. ЗАПАДЕН ПАРК,,0,,F7941D,FFFFFF,,,
TM25,A,5,СЪДЕБНА ПАЛАТА - КВ. КНЯЖЕВО - СЪДЕБНА ПАЛАТА,,0,,F7941D,FFFFFF,,,
A54,A,82,ж.к. Люлин -5 - Централна гара - ж.к. Люлин -5,,3,,BE1E2D,FFFFFF,,,
A247,A,82A,Ж.к. Захарна фабрика - Ул. Орион - Ж.к. Захарна фабрика,,3,,BE1E2D,FFFFFF,,,
TM40,A,15,ПЛ. МАКЕДОНИЯ - ПЛ. ЖУРНАЛИСТ - ПЛ. МАКЕДОНИЯ,,0,,F7941D,FFFFFF,,,
A65,A,103,ВЗ. ЛЮЛИН - АВТОСТАНЦИЯ ОВЧА КУПЕЛ - ВЗ. ЛЮЛИН,,3,,BE1E2D,FFFFFF,,,
A253,A,802,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
TM52,A,12А,Гара София север - КВ. ИЛИЯНЦИ - Гара София север,,0,,F7941D,FFFFFF,,,
TB24,A,123,ЛИФТА СИМЕОНОВО - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЛИФТА СИМЕОНОВО,,11,,27AAE1,FFFFFF,,,
TB42,A,22T,ТЕАТЪР СОФИЯ - АВТОСТАНЦИЯ ИЗТОК - ТЕАТЪР СОФИЯ,,11,,27AAE1,FFFFFF,,,
TB34,A,20T,АВТОСТАНЦИЯ ГЕО МИЛЕВ - ТЕАТЪР СОФИЯ - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,11,,27AAE1,FFFFFF,,,
A172,A,20TM,ПЛ. ВАСИЛ ЛЕВСКИ - МЕТРОСТАНЦИЯ ОПЪЛЧЕНСКА - ПЛ. ВАСИЛ ЛЕВСКИ,,3,,BE1E2D,FFFFFF,,,
A106,A,68,Кв. Симеоново - Зоопарка - Кв. Симеоново,,3,,BE1E2D,FFFFFF,,,
A2,A,9,УЛ. ГЕН. ГУРКО - АВТОБАЗА ИСКЪР - УЛ. ГЕН. ГУРКО,,3,,BE1E2D,FFFFFF,,,
TM51,A,4,КВ. ОВЧА КУПЕЛ - Бул. Никола Петков - КВ. ОВЧА КУПЕЛ,,0,,F7941D,FFFFFF,,,
